opinion	question	dataset
1	What 45 caliber Glock is best for combat?	q
0	What are my best career options?	q
1	What are some best classified websites?	q
1	What are some best defensive shots played by Rahul Dravid?	q
1	What are some best Non-Indian vegetarian food?	q
1	What are some best OLA / UBER hacks which can save my money?	q
1	What are some best revenge movies?	q
1	What are your best hangover hacks?	q
1	What are your best moments of life?	q
0	What do you consider your best quality?	q
1	What has been your best sexual experience?	q
1	What is BEST gaming laptops under 60000 in 2016?	q
1	What is best incest movie?	q
1	What is best interview answer (emerging startup) when asked 'What are your career goals?'	q
1	What is best investment option?	q
1	What is best Misal Pav spot in Swargate Pune area?	q
1	What is best source of Canadian politics news, web news sites or Facebook pages? Please be specific on which sites or pages.	q
0	What is best way to crack the Civil Services Exam?	q
1	What some best horror movies?	q
1	What was that best moment of your life?	q
1	What was your best moment?	q
1	What will be best laptop Under 25000 INR ?	q
1	What's your best travel hack?	q
1	Where can I find best five star hotel of Bhopal?	q
1	Where can I find best rat control service in Sydney?	q
1	Where can I found best quality graphic mats in Sydney?	q
1	Where can I get best children story books in Australia?	q
1	Where can I get best designing and printing services in Sydney for envelopes?	q
1	Where can I get best flavors, designs and decorations for cupcakes at Gold Coast?	q
1	Where can I get best quality pest control service in Australia?	q
1	Where can I get best street food in Bangalore?	q
1	Which are best apps for photo edit?	q
1	Which are best furniture stores in India?	q
1	Which Are Best Motivational Books?	q
1	Which book is best to use for preparing for NEET UG in 2017?	q
1	Which college is best for doing a B.Tech in IT at North Campus?	q
1	Which college is best to opt for MBA in HR in India?	q
1	Which colleges are best for CSE?	q
1	Which company network best in pune?	q
1	Which course after b.tech in mechanical engineering suits best?	q
1	Which courses are best to choose after 2nd year PUC in the field of biology?	q
1	Which IIT is best for aeronautical engineering?	q
1	Which is best antivirus for PC with Windows 10?	q
1	Which is best book for maths in class 10?	q
1	Which is Best buy out of all Jionet mobiles, budget can be managable?	q
1	Which is best D.U or M.D.U?	q
1	Which is best escort agency in Bangalore?	q
1	Which is best hair loss treatment clinic in Ahmedabad?	q
1	Which is best intermediate colleges in Hyderabad for IIT?	q
1	Which is best Linux distro in 2016 and why?	q
1	Which is best Online shopping website to buy home appliances?	q
1	Which is best romantic movies in tamil?	q
1	Which is best start up in India?	q
1	Which is Osho's best quote?	q
1	Which is Shahrukh Khan's best piece of work?	q
1	Which is the all time best Hollywood movie?	q
1	Which is the car with best pickup In Indian Hatchbacks below the price of 10 lakhs?	q
1	Which is world's best romantic movie?	q
1	Which laptop is best to buy within the range of 30000rs?	q
1	Which mode is best for JEE MAIN 2017 online exam or offline?	q
1	Which one is best among Moto G3 and Moto G Plus-4th Gen?	q
1	Which one is best lens in 70–300 For Nikon?	q
1	Which organic aloevera gel is best suited and effective for oily and acne prone skin type?	q
1	Which phone is best to buy under 15k?	q
1	Which place is best to work Mumbai or delhi?	q
1	Which platform is best for trade in Forex trading?	q
1	Which smart phone is best in 2016?	q
1	Who are best questioners on Quora?	q
1	Which real life people best match the characters in Game of Thrones?	q
1	What car is better Audi rs7 or bmw m6 gran coupe?	q
1	Would Real Madrid be better off without Cristiano Ronaldo?	q
1	Are dogs better than humans?	q
1	Are human beings better than animals?	q
1	Can cows be better pets than dogs and cats?	q
1	Do you agree that a liberal society is better as it allows liberal and conservative lifestyle but conservatism only allows conservative lifestyle?	q
1	For a US non-resident alien who resides in a country with territorial tax, who intends to have US Effectively Connected Income (ECI), is it better to set up a US LLC, a US C-Corporation, or a foreign entity?	q
1	From an objective point of view, assuming maximum life utility is the goal, is it better to be born male or female in the developed world?	q
1	How is a communist country better than a democratic country?	q
1	I got two offers Wipro and Accenture .pls suggest me which is better and why, while package of Accenture is 3.5 and Wipro is 3.25?	q
1	If I have one week, which country should I visit, Guatemala or Nicaragua? What should I not miss in any of them? Which one offers better scuba diving?	q
1	Is Babbel better than Rosetta Stone?	q
1	Is it better to be a famous rich person or an anonymous rich person?	q
1	Is it better to get a car loan through a dealership or a bank?	q
1	Is it better to take creatine before or after a workout and why?	q
1	Is Mac or Windows better for gaming?	q
1	Is ObamaCare really any better than Medicare?	q
1	Is reading the Game of Thrones books better than watching the TV series?	q
1	Is the PS4 or the Xbox One better?	q
1	Is Turkey better than Saudi Arabia?	q
1	Is UPS or USPS better for shipping mid-to-large size packages?	q
1	Love marriages or Arrange marriage? Which is better	q
1	What brand is better - Tampax or Playtex?	q
1	What is better for car loan; finance company or banks?	q
1	What is better Uber or Ola? Why?	q
1	What is the demand of biomedical engineers? Which stream is better Biomedical or Biotechnology?	q
1	What shoes look better with khaki pants and a shirt?	q
1	When is the random forest better than decision tree?	q
1	Which are better pro monitors Presonus Eris 4.5 or KRK Rokit 6 G3?	q
1	Which are better, Samsung or LG refrigerators?	q
1	Which bike is better, a Royal Enfield classic 350 or a Bullet 350?	q
1	Which coaching is better SKD or aakash in lucknow?	q
1	Which college is better DAVIET JALANDHAR or UIET KURUKSHETRA?	q
1	Which college is better for CSE: DTU/NSIT/IIITD?	q
1	Which CPU is better I3 4th Gen or 6th Gen?	q
1	Which exercise is better: with heavy weights and less reps, or with lighter weight and more reps? How will these two affect muscle growth?	q
1	Which hybrid bicycle is better in 20 to 25k?	q
1	Which is better China or Taiwan?	q
1	Which is better for a CS: IIT Guwahati or IIT Roorkee?	q
1	Which is better for CSE in VIT Vellore or certain with maths in IIIT Delhi?	q
1	Which is better for Java development: Eclipse or IntelliJ IDEA?	q
1	Which is better gun m16 or insas?	q
1	Which is better in mobile development - iOS or Android?	q
1	Which is better intel i5 (6th gen) or i7 (5th gen)?	q
1	Which is better law from BHU or Osmania university?	q
1	Which is better NIT Hamirpur ECE or VIT Vellore ECE?	q
1	Which is better, a career in environmental buildings or typical structural engineer?	q
1	Which is better, an edge LED TV or a direct LED TV?	q
1	Which is better, Bollywood or Kollywood?	q
1	Which is better, Redmi Note or Redmi Note 4G? Why?	q
1	Which is better, Snapdragon 625 or Snapdragon 650?	q
1	Which is better, the HMS Queen Elizabeth or the new Ford class Aircraft Carrier?	q
1	Which is better: Evernote or Google Keep?	q
1	Which is better: HP Pavilion 15-AU111TX or AU006TX?	q
1	Which is overall better, Amazon Echo or Google Home?	q
1	Which laptop is better for a enginnering student under Rs.25000?	q
1	Which MBA stream is better to pursue a mechanical engineer as fresher?	q
1	Which mobile is better under 15k?	q
1	Which one is better among KMC Manipal and KMC Mangalore?	q
1	Which one is better for a better career growth, Oracle DBA or SQL DBA?	q
1	Which one is better, an IIT or an IISc?	q
1	Which one is better, computer science or computer engineering? Why?	q
1	Which one is better: Intel Core i7 6500U Quad core with Intel HD Graphics 520 or Intel Core i7 6500U Dual core with Nvidia GeForce 940 2GB graphics?	q
1	Which one is better: Samsung Galaxy s7 edge or iPhone 6s?	q
1	Which OS is better, Windows 7 or Windows 10?	q
1	Which phone is better, a single SIM or a dual SIM?	q
1	Which show is better, The Office or Parks and Recreation?	q
1	Which software is better for a mechanical engineering student, Catia or Autocad?	q
1	Who is better between Hillary Clinton and Donald Trump as a US president?	q
1	Why do I study better at night?	q
1	Why is Chinese Democratic Meritocracy system better than the Western Style democracy?	q
1	Wordpress vs. Blogger which one is better?	q
1	How is Hillary Clinton better than Donald Trump?	q
1	How messi is better than Ronaldo?	q
1	In what aspects is Hillary Clinton better than Trump?	q
1	Is Quora better than Google for answers?	q
1	Is there any forum better than Quora?	q
1	Why is Hollywood better than Bollywood?	q
1	For a person who has no idea of Java or c++ coding, which technology is better to learn, Hadoop or SAP?	q
0	What are biggest secrets of Aghori Sadhus?	q
1	What is your biggest achievement in your job?	q
1	What is your biggest regret of your life?	q
1	What is your biggest regret you can still do something about?	q
0	Which country in the world has biggest vegetarian population (not vegan)?	q
0	Why does a submarine implode at a certain depth, but some marine life can live on the ocean floor in the deepest oceans without being crushed?	q
1	What do I buy, an iPhone 7+, Samsung Galaxy S7 Edge, or Google Pixel?	q
0	Which gaming laptop can I buy under 30000?	q
0	I am from India and am visiting Dubai during DSF. Where can I buy a good, genuine laptop and car audio accessories for the main unit with international warranty? Will there be a price difference compared to India?	q
0	Where can I get the best digital marketing course (online & offline) in India?	q
1	Do you feel that the life in your country has changed alot since 2000?	q
0	What is cheapest method to calculate shipping rates?	q
1	What should I choose, Thapar for CSE or BIT Mesra for IT and why?	q
1	Why is Sri lanka and Bangladesh, so much cleaner than India?	q
1	How good are the best neuroscience programs in India? Are they comparable with worldwide top universities?	q
1	Can you compare Donald Trump and Ronald Reagan?	q
0	How do the gut microbiomes of herbivore animals compare with those of carnivore animals?	q
8	How does Edgware compare with other neighbourhoods in London?	q
8	How does the immune response against antigens compare against nucleic acids?	q
8	What is the scope of ubiquitous computing? How can you compare UC with image processing in terms of future growth and market?	q
8	What type of government does Turkey have? How does it compare to the one in Colombia?	q
8	Why did the industrial revolution first occur in England? How does it compare with that in India at present?	q
0	How much urjit Patel Suits to RBI as a governor: compare with Raghuram Rajan sir?	q
0	What is the process to determine the density of aluminum and how does gold compare?	q
8	Where does the water from the Great Lakes come from, and how does these lakes wildlife compare to Lake Geneva?	q
8	How can the drive from Edmonton to Auckland be described, and how does the history of these cities compare and contrast to the history of Vancouver?	q
8	How can you compare and contrast a rice cooker and a slow cooker?	q
0	How do short and open circuits compare and contrast?	q
8	How does a a pluralistic society compare and contrast to a regular society?	q
8	What are some common examples of non-vascular plants, and how do they compare and contrast to vascular plants?	q
8	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Nanshan?	q
0	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Port Arthur?	q
0	What was the significance of the battle of Somme, and how did this battle compare and contrast to the Battle of Penang?	q
0	How can the drive from Edmonton to Auckland be described, and how do these cities' attractions compare to those in Toronto?	q
0	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Atacama Desert?	q
0	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Great Victoria Desert?	q
0	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Karakum Desert?	q
0	How cold can the Gobi Desert get, and how do its average temperatures compare to the ones in the Syrian Desert?	q
8	How do Bangalore bus routes compare to Ranchi's, and what authority oversees them?	q
8	How do nude beaches in Punta Cana compare to other nude beaches in Barbados?	q
8	How do Oxford and Cambridge compare to Harvard and Stanford?	q
0	How do the tourist attractions on the Scandinavian Highlands compare to attractions in Luxembourg?	q
8	How does ISB, Hyderabad compare to IIM Ahmedabad?	q
0	How does laryngitis compare to bronchitis?	q
8	How does Sauron's power compare to that of Morgoth?	q
1	How does Shobhit University in Meerut's academic program compare to the University of Calcutta's?	q
8	How does the new Airbus A350XWB compare to the Boeing 787 Dreamliner?	q
8	How does Tim Hortons coffee compare to Starbucks coffee?	q
8	What are the benefits of green jasmine tea? How do they compare to those of chamomile tea?	q
0	What are the main imports and exports of Venezuela, and how does Venezuela's industry compare to Uruguay's?	q
8	What are the rules and regulations when visiting an inmate at Valdosta prison and how does it compare to prisons in Hawaii?	q
0	What is Ontario's motto and its significance, how does it compare to Arizona's?	q
8	What is the crime rate in the Borough of Ealing and how does it compare to Bexley?	q
8	What is the location of Palawan, and how does this Island compare to Aitutaki?	q
0	What is the longest roller coaster in the United Kingdom and how does it compare to the longest roller coaster in Singapore?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Colorado Plateau?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Dasht-e Margo?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Great Victoria Desert?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Mojave Desert?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Registan Desert?	q
8	What is the Sahara, and how do the average temperatures there compare to the ones in the Simpson Desert?	q
8	What type of government does Turkey have? How does it compare to the one in Jordan?	q
8	What were the major effects of the cambodia earthquake, and how do these effects compare to the Iquique earthquake in 1877?	q
8	What were the major effects of the cambodia earthquake, and how do these effects compare to the Peru earthquake in 1687?	q
0	What were the major effects of the cambodia earthquake, and how do these effects compare to the Sanriku earthquake in 1896?	q
8	What were the major effects of the cambodia earthquake, and how do these effects compare to the Somatra earthquakes in 2007?	q
8	What were the major effects of the cambodia earthquake, and how do these effects compare to the Tohoku earthquake in 2011?	q
0	What were the major effects of the cambodia earthquake, and how do these effects compare to the Valparaiso earthquake in 1822?	q
8	Where is Mount Villarica located and how does its eruptive history compare to Mount Popocatépetl?	q
8	Where is the Baraka River located, and how does it compare to the Parana River?	q
8	Where is the Baraka River located, and how does it compare to the Volga River?	q
8	Where is the Hole-in-the-Wall located in South Africa, and how does this natural formation compare to others in Afghanistan?	q
8	Why India is not able to perform well in Rio Olympic 2016 as compare to London and Beijing Olympics?	q
0	What is Secretary Clinton's IQ and how does it compare with that of Trump?	q
8	How much do Hooters waitresses make compared to regular waiters and waitresses?	q
8	What is it like flying from Bangkok to Manila and how are these touristic cities compared to Chennai?	q
8	What is it like flying from Bangkok to Manila and how are these touristic cities compared to Xi'an?	q
8	Why are human beings so intelligent compared to all the other kinds of animals?	q
0	I am 14, and compared to some of my peers at school, my life seems very uninteresting, what can I start doing now to stop this?	q
0	What is the property tax rate in Granville, Ohio? How is it compared to the one of Alaska?	q
8	When and why did black pepper become so popular when it is so flavorless compared to white pepper? And what is the difference?	q
8	Are book reviews on goodreads worth reading (compared to book reviews on Amazon)?	q
0	Do rats carry more diseases when they are dead compared to being alive?	q
8	How can I use Omegle on my iPod Touch and how is it compared to using iMeetzu?	q
8	How hard is it to learn Russian (compared to Japanese)?	q
8	How is blade commerce controlled in Vermont compared to Arizona under the knife legislation?	q
8	How is junior college in Singapore compared to Pakistan?	q
1	How smart was Steve Jobs compared to Mark Zuckerberg?	q
1	What is city life in India like compared to Nepal?	q
1	What is GATE? How difficult is it compared to JEE?	q
1	What is it like flying from Bangkok to Manila and how are these touristic cities compared to Tokyo?	q
8	What kind of economy does the United States have compared to the one in Spain?	q
8	What was the production of artwork intended for in Hawaii and how is it compared to the one intended for in Maine?	q
0	Which are the major highways in California and how are they compared to the major highways in Iowa?	q
8	Which are the major highways in California and how are they compared to the major highways in Maine?	q
8	Which car services are available in Orlando? How good are they compared to taxis and relative to each other?	q
8	Why did only human beings evolve so much compared to other animals?	q
8	Why do people give more importance to Krishna and Rama avatars when compared to Lord Vishnu even though Krishna and Rama are just avatars and Vishnu is the ultimate?	q
8	Why is pollution less due to organic agriculture as compared to chemical intensive agriculture?	q
0	What is correct, thanks to all or thanks all or thank you everyone?	q
0	"Which is correct, ""Monday to Friday"" or ""Monday through Friday""?"	q
8	"Which is correct: ""As of now, I still hadn’t received a response."" or ""As of now, I still haven’t received a response.""?"	q
8	"Which one is correct, ""was"" or ""is""?"	q
8	"Which one is correct: ""It's no big deal,"" ""It's not a big deal,"" or ""It's not big deal""? Or are they all correct?"	q
0	What is dark energy vs therodynamics?	q
1	Do employees at Agilent Technologies have a good work-life balance? Does this differ across positions and departments?	q
8	Do employees at B&G Foods have a good work-life balance? Does this differ across positions and departments?	q
1	Do employees at L Brands have a good work-life balance? Does this differ across positions and departments?	q
1	Do employees at Oceaneering International have a good work-life balance? Does this differ across positions and departments?	q
0	Do employees at S & T Bank have a good work-life balance? Does this differ across positions and departments?	q
0	Do employees at TCF Bank have a good work-life balance? Does this differ across positions and departments?	q
8	How do animals that live in ponds and lakes differ from the rest?	q
0	How do checking accounts and savings accounts differ?	q
0	How do cigars differ from cigarettes?	q
0	How do clogging and tap dancing differ?	q
0	How do gas-liquid and gas-solid chromatography differ?	q
0	How do prosecution and defense differ?	q
8	"How do the ""slight highs"" from cigarettes and e - cigarettes/vapor differ? Is one better than the other? Smell and other components like that aside."	q
1	How does Starbucks differ from other coffee?	q
8	What are the laws and regulations regarding bail bonds in Alabama and how does it differ from Arkansas?	q
8	What are the most common traffic convictions in Arkansas, and how does the severity of the convictions differ in California?	q
8	What are the most common traffic convictions in Arkansas, and how does the severity of the convictions differ in Ohio?	q
0	What is cognitive intelligence? How does it differ from emotional intelligence?	q
8	How does a spindle motor differ from induction motor?	q
8	How does a UI/UX designer differ from a UX designer?	q
8	What are some examples of endangered species in the tropical rainforest, and how do these differ from those in coastal deserts?	q
8	Who first invented caulk and how does today's version of it differ from the original product?	q
8	Is there any difference between faith and trust?	q
0	Is there any difference between IES and ESE?	q
8	What is difference between c++ and java basic not tough?	q
0	What is difference between CEO & COO?	q
0	What is difference between FEM and FEA?	q
0	What is difference between MMRDA act 1975 and MRTP act 1966?	q
0	What is difference between OCJP and SCJP Certification?	q
0	What is difference between package and repository?	q
0	What is difference between Profitability and financial stability of commercial bank?	q
0	What is difference between resistance, reactance and impedance?	q
8	What is difference between Core Java and Advanced Java?	q
0	What are differences between biodegradable and nonbiodegradable wastes.	q
1	What are differences between Disc Brake and Drum Brake?	q
0	What exactly are manifolds (intuitively) and what are their differences from graphs?	q
0	How are neurotransmitters different from hormones?	q
0	How are the rates calculated for unemployment benefits in Maryland and how is the process different in Wisconsin?	q
0	How different was Coelorusauria from Carnosauria?	q
0	How is a TF card different from an SD card?	q
8	How is the structure of a protein different from the structure of a nucleic acid?	q
8	How will aging be different for me (30) than my parents (70)? What advances will have been made by the time I reach their age?	q
8	What is a B1/B2 Visa? How is it different from B1 and B2 Visas?	q
1	What is it like to be a summer student at Claremont Colleges? How is it different from the normal school year?	q
8	What is the corporate culture like at Power Solutions International? How is the culture different than other companies?	q
8	What makes India different from the rest of the world?	q
8	Why’s watching and playing snooker different?	q
8	How is Darwin's theory different from Lamarck's theory?	q
8	How is UNIX different from Windows?	q
8	What is it like to be a summer student at Thomas Edison State College? How is it different from the normal school year?	q
1	How different would the Facebook and Twitter news feeds of Indian politicians look like in comparison to what an average Indian sees?	q
1	How different or similar is Toronto to New York City?	q
1	Do you believe that mind and heart are different things or the same?	q
8	How is the brain different than a computer?	q
8	What is the corporate culture like at Catalyst Pharmaceuticals? How is the culture different than other companies?	q
8	What is the corporate culture like at Century Bank? How is the culture different than other companies?	q
8	How do I differentiate between Bituminous Concrete and Semi Dense Bituminous Concrete in field?	q
8	As someone with dwarfism, which term do you prefer, little person, midget or dwarf?	q
8	Which is easier: PTE or IELTS?	q
1	Do you think that it is easier to learn new subjects by yourself, or do you think it is better to have a teacher?	q
8	Why do people use Quora when they could easily find the answer in a quick Google search?	q
8	Which countries have easy job prospects for Indians doing their MBA abroad?	q
0	What are the hacks to solve numericals in physics efficiently and easily?	q
0	Is additional secretary in central government equivalant to additional secretary in state government?	q
8	Whom do you expect to become the next president of the USA: hillary Clinton or Donald Trump and why?	q
0	Does the iPad adapter charge the iPhone 6 Plus faster? Is it safe to use?	q
0	What are your favorite animals?	q
8	What are your favorite clothes?	q
8	What are your favorite possessions?	q
0	What are your favorite quotes of all time?	q
0	What are your favorite vegetarian dishes?	q
8	What is your all time favorite book?	q
8	What is your favorite body part?	q
0	What is your favorite Bollywood song? Why?	q
8	What is your favorite book of all time and why?	q
8	What is your favorite city in the world and why?	q
8	What is your favorite city/country, why?	q
0	What is your favorite comic book storyline?	q
8	What is your favorite joke?	q
8	What is your favorite meal ever?	q
8	What is your favorite movie all about?	q
8	What is your favorite movie genre? What are the typical features of that genre? Name one movie in that genre that you enjoy and want to recommend.	q
8	What is your favorite music genre and why?	q
8	What is your favorite nickname for yourself?	q
8	What is your favorite song and why?	q
0	What is your favorite song from 1980s?	q
8	What is your favorite song or what song do you recommend?	q
8	What is your favorite thing in the world?	q
0	What is your favorite thing to do?	q
8	What is/are your favorite anime(s)? Why?	q
8	What's your favorite movie genre and/or sub-genre and why?	q
8	What's your favorite word; why?	q
8	Where is your favorite travel destination?	q
8	Which is your favorite Bible verse, and why?	q
8	Which is your favorite eyeliner from Oriflame?	q
8	Which one is your favorite movie?	q
8	Who is your favorite Bible character and why?	q
8	Who is your favorite character from Naruto?	q
8	What is your favourite anime character and why?	q
8	What is your favourite subject?	q
8	Which company will fall first, Google, Apple, Facebook, Amazon, or Microsoft?	q
8	Which was first smart mobile in the world?	q
1	Has Doctor Who gained or lost popularity amongst new viewers during the last doctor, vs the old ones?	q
8	What color jeans goes best with white shirt?	q
1	Can you show me some good website to get coupon codes of Burton?	q
1	Want to enroll for Design for test course, which training centre is good?	q
0	What are good books on analytics?	q
1	What are good business books to read?	q
8	What are good examples of data flow diagrams for an inventory system?	q
8	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Bahrain for the first time?	q
8	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Lithuania for the first time?	q
1	What are good gifts for a foreign visitor to bring when they're invited to someone's home in Philippines for the first time?	q
1	What are good ideas to write about in a thesis?	q
1	What are good journals/magazines for computer science to publish to?	q
1	What are good online jewelry sites/companies?	q
1	What are good project management tools for IT companies?	q
8	What are good questions to ask yourself at the end of the year?	q
8	What are good side dishes to accompany chicken with mustard sauce?	q
8	What are good ways to deal with anxiety?	q
0	What are good ways to keep lizards out of your house?	q
8	What are good ways to reply when someone writes a sorry email to you?	q
1	What are good ways to run an illegal poker room?	q
8	What are good workouts to lose belly fat?	q
0	What are some good analogies for understanding different sorting algorithms?	q
1	What are some good automotive hacks and tips?	q
1	What are some good birthday gift ideas for a mom?	q
1	What are some good book for algorithms and data structures on java?	q
1	What are some good books by Indian authors ?	q
0	What are some good books for English punctuation?	q
1	What are some good coaching institutes for UPSC in ahmedabad?	q
1	What are some good debate topics about politics?	q
1	What are some good examples of advertisements featuring dogs? Are there any great ones from the pet industry?	q
1	What are some good examples of event advertisements?	q
1	What are some good examples of modular design building?	q
0	What are some good free video editing softwares on the PC?	q
1	What are some good furniture shops in Pune?	q
1	What are some good lyrics to metal love songs?	q
1	What are some good metaphors or analogies to describe emotions?	q
1	What are some good movies for 13-year-old girls to watch?	q
1	What are some good movies which depict friendship?	q
1	What are some good mutual funds to invest in at the moment?	q
1	What are some good post-apocalyptic books?	q
1	What are some good qualities of a leader?	q
8	What are some good recipes with Hormel Black Label canned ham?	q
1	What are some good resources for beginner to start learning JavaScript?	q
1	What are some good romantic comedy novels?	q
0	What are some good side dishes for buffalo chicken?	q
1	What are some good sites to learn Java?	q
1	What are some good software companies in Hyderabad that work on very good high-end Java projects in depth?	q
1	What are some good sports for girls to do?	q
1	What are some good tips for using LinkedIn?	q
8	What are some good ways of managing your money?	q
0	What are some good ways of reading a logarithmic scale?	q
0	What are some good ways to join the Indian Armed Forces after my graduation?	q
8	What good summer internships abroad are available for an Indian master's student of linguistics?	q
8	Which among these companies are good: Infosys, Wipro, Cognizant, TCS?	q
1	Which book is good for maths (SSC CGL)?	q
8	Which shampoo is good for your hair, shampoo or shampoo with conditioner?	q
8	Which travel agency is good Thomas cook or cox and kings for international travel in terms of budget and comforts?	q
8	What is good and bad studying at Whitireia Community Polytechnic?	q
1	Are Ivy League basketball and (American) football teams good enough to beat the best college team in America?	q
1	Are there any other good communities like Quora?	q
8	"Which is grammatically correct: ""the best is yet to come"" or ""the best is not yet to come""?"	q
8	How resistance of AC is greater than resistance of DC?	q
0	What are your greatest accomplishments?	q
8	Overall, is it harder to get into a US or UK medical school?	q
1	What's healthier: bread and butter or chips and salsa?	q
8	Which country is highest in debt?	q
8	"Is the equator hotter than the poles because it's spinning ""faster""?"	q
8	Why do people use credit card instead of debit cards?	q
8	Why would an engineer want to work at Microsoft instead of Facebook and Google?	q
8	"Why do many Americans pronounce February ""Feb-yoo-ary"" instead of ""Feb-roo-ary""?"	q
8	Are political parties in the U.S. just like China's one party?	q
8	What are Indonesia's largest industries?	q
0	What are less known facts about britain that rest of the world dont know?	q
0	Why do black people in North America have lighter skin than those in Africa?	q
8	Did the ancient Greeks look like modern Greeks?	q
1	What is it like to earn $100,000 vs $250,000 vs $500,000 vs $1,000,000?	q
1	What are the five things you like most about India?	q
0	What do you like most about student life?	q
8	What is main difference between Rescheduling, Restructuring and Rephasement in Banking terms?	q
1	What makes a perfect pizza?	q
8	What are some mind-blowing Wallets that most people should have?	q
1	Are men who choose to be single parents more responsible and mature?	q
8	Are women more elitist than men, if yes, why?	q
1	Are women more physically attracted to skinny guys or to well-built guys?	q
8	Chemistry: Upon accidental chemical exposure to our body, why are alkali injuries more damaging than the acid injuries?	q
1	CPA or ACCA, which is more valid in Australia?	q
1	Do Asian women find Western men more attractive than Asian men?	q
1	Do you feel that your son is more special to you than your daughter only because of his gender?	q
0	Is 800 mg of ibuprofen more effective than 4 x 200mg of ibuprofen? If so, why?	q
1	Is French culture more intellectual than American culture?	q
0	Is it more costly to transport oil from gwadar port to China than through malacca strait?	q
8	What is more important than happiness?	q
8	What made Facebook wildly more successful than other social networking sites like Orkut and MySpace?	q
0	Which connection uses more battery on smartphone? WiFi or 4G?	q
8	Who is more likely to be the President of India in 2017?	q
8	Who pay more income tax in India?	q
8	WHO WAS MORE SUCCESSFUL, CIA OR KGB?	q
8	Why boy like aunties more than girls?	q
8	Why is iOS more optimized than Android?	q
8	Why is Japan more technologically advanced than other rich Western countries?	q
0	Are vegetarian girls or guys more common?	q
1	Who is more likely to cause the WW3, Trump or Clinton?	q
1	Why is the PASCAL language more suited to a structured program?	q
8	Why do some materials like rubber bounce more than other materials like wood or metal?	q
1	What are most dangerous places in the world?	q
1	What are most important things in life?	q
1	What are most over the top things you got in trouble for when you were in public school?	q
8	What are most underrated Bollywood movies?	q
1	What are some dumb things that most people do?	q
8	What is the thing that you regret most in your life?	q
8	What is the thing you most regret doing?	q
8	What is your most hidden and deepest secret that you want to share?	q
0	What most effective R.A. drug?	q
8	What real life bands most sound like the fictional Dethklok?	q
8	What two or three things are most important to you in your job?	q
8	What was your most embarrassing moment infront of your crush?	q
8	What was your most successful social media campaign?	q
8	What weapons would be most effective in a zombie apocalypse?	q
1	What's your, personally, most reliable source of information?	q
8	Where can I get most reliable moving services in Central Coast?	q
8	Which film did you most enjoy watching at the cinema in 2016?	q
8	Which laptop will be most suitable to buy in a budget around INR 40-50k?	q
1	Which two states in India has most beautiful women and why?	q
8	Which woman has world's most charming bellybutton?	q
8	Who has most followers on Quora Right now?	q
0	Why are most Indian parents so conservative?	q
0	Which MBTI types are most likely to get which mental disorders?	q
8	Which application is mostly used to download Youtube videos on an Android smartphone?	q
0	Why are some intelligent people not the fastest learners?	q
8	Should india invest more on agriculture or defence?	q
8	When do we use who or whom?	q
8	What penis size do women prefer?	q
8	Why do people prefer Quora over Yahoo! Answers?	q
8	Which bike is preferred in Bangalore: FZ V 2 or Pulsar 200NS?	q
0	What are some pros and cons of living near by sea or river?	q
1	What are the economic pros and cons of polygamy?	q
1	If I want to become a UI/UX designer, what major(s) would you recommend for college and what colleges offer these majors?	q
0	In which way sole proprietorship is related to partnership?	q
8	Which is safer for tourists: India or China?	q
8	Will Donald Trump make America safer than Hillary Clinton?	q
8	Are Abraham and Brahma same?	q
8	Who is sexier, Tracer or Widowmaker?	q
1	What color shirts goes best with cream color pants?	q
8	What books should entrepreneurs read?	q
8	Which books should I read? Does it really change your life? 	q
1	What books should a teenager read?	q
0	What statistical test should be used to compare predicted variable and actual value?	q
0	Which mantra, and which method should be used to get my lover back if she loves another guy now?	q
8	I learned Python and now I want to learn an OOP language. Should I learn Java or C++?	q
1	Should I write my blog in English or Spanish?	q
1	How should I start my preparation for Civil Services Exam 2017 if I don't want to join any coaching classes? What study method should I adopt?	q
0	I am a programmer, should I buy a MacBook or windows laptop?	q
8	I planning to buy my first DSLR. Should I buy the zoom lens or prime lens if I have budget constraints?	q
8	Should I buy a DSLR camera or a laptop?	q
8	Should I buy hp 17.3 AMD laptop or lenovo 17.3 i5 laptop?	q
0	Should I buy Moto G4 Plus or Xiaomi Mi Max?	q
1	Should I buy the new MacBook pro 2016 or the MacBook pro 2015?	q
8	Which Laptop should I buy if my budget is 55k?	q
8	Which Mac mini should I buy?	q
1	Which phone should I buy moto g 4 plus or redmi note 3?	q
